#Parameters = {f=2856; mc=25}
#"Frequency / MHz"	"S1,1 [Magnitude in dB]"
#------------------------------------------
2850.5600000000	-0.63807457805846
2850.5700000000	-0.64570995334143
2850.5800000000	-0.65347797295639
2850.5900000000	-0.66138146845656
2850.6000000000	-0.66942334064360
2850.6100000000	-0.67760656142150
2850.6200000000	-0.68593417570251
2850.6300000000	-0.69440930336651
2850.6400000000	-0.70303514127537
2850.6500000000	-0.71181496534376
2850.6600000000	-0.72075213266797
2850.6700000000	-0.72985008371434
2850.6800000000	-0.73911234456893
2850.6900000000	-0.74854252925007
2850.7000000000	-0.75814434208546
2850.7100000000	-0.76792158015564
2850.7200000000	-0.77787813580554
2850.7300000000	-0.78801799922593
2850.7400000000	-0.79834526110657
2850.7500000000	-0.80886411536311
2850.7600000000	-0.81957886193942
2850.7700000000	-0.83049390968756
2850.7800000000	-0.84161377932722
2850.7900000000	-0.85294310648667
2850.8000000000	-0.86448664482744
2850.8100000000	-0.87624926925470
2850.8200000000	-0.88823597921549
2850.8300000000	-0.90045190208708
2850.8400000000	-0.91290229665757
2850.8500000000	-0.92559255670104
2850.8600000000	-0.93852821464953
2850.8700000000	-0.95171494536410
2850.8800000000	-0.96515857000743
2850.8900000000	-0.97886506002019
2850.9000000000	-0.99284054120370
2850.9100000000	-1.0070912979112
2850.9200000000	-1.0216237773505
2850.9300000000	-1.0364445939996
2850.9400000000	-1.0515605341393
2850.9500000000	-1.0669785605033
2850.9600000000	-1.0827058170506
2850.9700000000	-1.0987496338609
2850.9800000000	-1.1151175321557
2850.9900000000	-1.1318172294498
2851.0000000000	-1.1488566448320
2851.0100000000	-1.1662439043819
2851.0200000000	-1.1839873467210
2851.0300000000	-1.2020955287048
2851.0400000000	-1.2205772312553
2851.0500000000	-1.2394414653379
2851.0600000000	-1.2586974780849
2851.0700000000	-1.2783547590688
2851.0800000000	-1.2984230467262
2851.0900000000	-1.3189123349370
2851.1000000000	-1.3398328797593
2851.1100000000	-1.3611952063241
2851.1200000000	-1.3830101158909
2851.1300000000	-1.4052886930671
2851.1400000000	-1.4280423131941
2851.1500000000	-1.4512826499011
2851.1600000000	-1.4750216828302
2851.1700000000	-1.4992717055340
2851.1800000000	-1.5240453335483
2851.1900000000	-1.5493555126423
2851.2000000000	-1.5752155272483
2851.2100000000	-1.6016390090721
2851.2200000000	-1.6286399458883
2851.2300000000	-1.6562326905198
2851.2400000000	-1.6844319700061
2851.2500000000	-1.7132528949608
2851.2600000000	-1.7427109691216
2851.2700000000	-1.7728220990937
2851.2800000000	-1.8036026042900
2851.2900000000	-1.8350692270695
2851.3000000000	-1.8672391430773
2851.3100000000	-1.9001299717869
2851.3200000000	-1.9337597872504
2851.3300000000	-1.9681471290565
2851.3400000000	-2.0033110135015
2851.3500000000	-2.0392709449760
2851.3600000000	-2.0760469275719
2851.3700000000	-2.1136594769125
2851.3800000000	-2.1521296322124
2851.3900000000	-2.1914789685717
2851.4000000000	-2.2317296095101
2851.4100000000	-2.2729042397491
2851.4200000000	-2.3150261182485
2851.4300000000	-2.3581190915083
2851.4400000000	-2.4022076071426
2851.4500000000	-2.4473167277408
2851.4600000000	-2.4934721450249
2851.4700000000	-2.5407001943208
2851.4800000000	-2.5890278693567
2851.4900000000	-2.6384828374099
2851.5000000000	-2.6890934548196
2851.5100000000	-2.7408887828916
2851.5200000000	-2.7938986042189
2851.5300000000	-2.8481534394478
2851.5400000000	-2.9036845645229
2851.5500000000	-2.9605240284461
2851.5600000000	-3.0187046715903
2851.5700000000	-3.0782601446139
2851.5800000000	-3.1392249280246
2851.5900000000	-3.2016343524487
2851.6000000000	-3.2655246196687
2851.6100000000	-3.3309328244939
2851.6200000000	-3.3978969775433
2851.6300000000	-3.4664560290194
2851.6400000000	-3.5366498935678
2851.6500000000	-3.6085194763199
2851.6600000000	-3.6821067002298
2851.6700000000	-3.7574545348273
2851.6800000000	-3.8346070265162
2851.6900000000	-3.9136093305644
2851.7000000000	-3.9945077449437
2851.7100000000	-4.0773497461893
2851.7200000000	-4.1621840274683
2851.7300000000	-4.2490605390599
2851.7400000000	-4.3380305314704
2851.7500000000	-4.4291466014209
2851.7600000000	-4.5224627409723
2851.7700000000	-4.6180343900672
2851.7800000000	-4.7159184927963
2851.7900000000	-4.8161735577198
2851.8000000000	-4.9188597226011
2851.8100000000	-5.0240388239382
2851.8200000000	-5.1317744717076
2851.8300000000	-5.2421321297686
