#Parameters = {f=2856; mc=25}
#"Frequency / MHz"	"S1,1 [Magnitude in dB]"
#------------------------------------------
2858.3500000000	-1.9150507327688
2858.3600000000	-1.8872082913057
2858.3700000000	-1.8598486766717
2858.3800000000	-1.8329633775570
2858.3900000000	-1.8065440070438
2858.4000000000	-1.7805823022337
2858.4100000000	-1.7550701238038
2858.4200000000	-1.7299994554932
2858.4300000000	-1.7053624035251
2858.4400000000	-1.6811511959662
2858.4500000000	-1.6573581820269
2858.4600000000	-1.6339758313056
2858.4700000000	-1.6109967329803
2858.4800000000	-1.5884135949489
2858.4900000000	-1.5662192429242
2858.5000000000	-1.5444066194829
2858.5100000000	-1.5229687830743
2858.5200000000	-1.5018989069894
2858.5300000000	-1.4811902782943
2858.5400000000	-1.4608362967301
2858.5500000000	-1.4408304735814
2858.5600000000	-1.4211664305168
2858.5700000000	-1.4018378984021
2858.5800000000	-1.3828387160911
2858.5900000000	-1.3641628291928
2858.6000000000	-1.3458042888207
2858.6100000000	-1.3277572503232
2858.6200000000	-1.3100159719992
2858.6300000000	-1.2925748137995
2858.6400000000	-1.2754282360164
2858.6500000000	-1.2585707979637
2858.6600000000	-1.2419971566472
2858.6700000000	-1.2257020654291
2858.6800000000	-1.2096803726868
2858.6900000000	-1.1939270204679
2858.7000000000	-1.1784370431421
2858.7100000000	-1.1632055660531
2858.7200000000	-1.1482278041691
2858.7300000000	-1.1334990607360
2858.7400000000	-1.1190147259313
2858.7500000000	-1.1047702755234
2858.7600000000	-1.0907612695333
2858.7700000000	-1.0769833509034
2858.7800000000	-1.0634322441716
2858.7900000000	-1.0501037541523
2858.8000000000	-1.0369937646265
2858.8100000000	-1.0240982370391
2858.8200000000	-1.0114132092066
2858.8300000000	-0.99893479403398
2858.8400000000	-0.98665917824266
2858.8500000000	-0.97458262110922
2858.8600000000	-0.96270145321587
2858.8700000000	-0.95101207521298
2858.8800000000	-0.93951095659401
2858.8900000000	-0.92819463448344
2858.9000000000	-0.91705971243791
2858.9100000000	-0.90610285926085
2858.9200000000	-0.89532080783109
2858.9300000000	-0.88471035394551
2858.9400000000	-0.87426835517609
2858.9500000000	-0.86399172974148
2858.9600000000	-0.85387745539333
2858.9700000000	-0.84392256831748
2858.9800000000	-0.83412416205021
2858.9900000000	-0.82447938640956
2859.0000000000	-0.81498544644189
2859.0100000000	-0.80563960138372
2859.0200000000	-0.79643916363883
2859.0300000000	-0.78738149777077
2859.0400000000	-0.77846401951068
2859.0500000000	-0.76968419478048
2859.0600000000	-0.76103953873137
2859.0700000000	-0.75252761479763
2859.0800000000	-0.74414603376568
2859.0900000000	-0.73589245285830
2859.1000000000	-0.72776457483397
2859.1100000000	-0.71976014710122
2859.1200000000	-0.71187696084799
2859.1300000000	-0.70411285018573
2859.1400000000	-0.69646569130824
2859.1500000000	-0.68893340166523
2859.1600000000	-0.68151393915017
2859.1700000000	-0.67420530130264
2859.1800000000	-0.66700552452485
2859.1900000000	-0.65991268331216
2859.2000000000	-0.65292488949758
2859.2100000000	-0.64604029151003
2859.2200000000	-0.63925707364617
2859.2300000000	-0.63257345535567
2859.2400000000	-0.62598769053976
2859.2500000000	-0.61949806686293
2859.2600000000	-0.61310290507746
2859.2700000000	-0.60680055836081
2859.2800000000	-0.60058941166554
2859.2900000000	-0.59446788108168
2859.3000000000	-0.58843441321125
2859.3100000000	-0.58248748455493
2859.3200000000	-0.57662560091054
2859.3300000000	-0.57084729678320
2859.3400000000	-0.56515113480705
2859.3500000000	-0.55953570517826
2859.3600000000	-0.55399962509918
2859.3700000000	-0.54854153823350
2859.3800000000	-0.54316011417216
2859.3900000000	-0.53785404790986
2859.4000000000	-0.53262205933205
2859.4100000000	-0.52746289271209
2859.4200000000	-0.52237531621860
2859.4300000000	-0.51735812143258
2859.4400000000	-0.51241012287435
2859.4500000000	-0.50753015754000
2859.4600000000	-0.50271708444724
2859.4700000000	-0.49796978419047
2859.4800000000	-0.49328715850484
2859.4900000000	-0.48866812983927
2859.5000000000	-0.48411164093811
2859.5100000000	-0.47961665443142
2859.5200000000	-0.47518215243358
2859.5300000000	-0.47080713615017
2859.5400000000	-0.46649062549290
2859.5500000000	-0.46223165870252
2859.5600000000	-0.45802929197939
2859.5700000000	-0.45388259912179
2859.5800000000	-0.44979067117163
2859.5900000000	-0.44575261606749
2859.6000000000	-0.44176755830485
2859.6100000000	-0.43783463860340
2859.6200000000	-0.43395301358113
2859.6300000000	-0.43012185543536
2859.6400000000	-0.42634035163021
2859.6500000000	-0.42260770459069
2859.6600000000	-0.41892313140314
2859.6700000000	-0.41528586352182
2859.6800000000	-0.41169514648171
2859.6900000000	-0.40815023961724
2859.7000000000	-0.40465041578687
2859.7100000000	-0.40119496110347
2859.7200000000	-0.39778317467024
2859.7300000000	-0.39441436832220
2859.7400000000	-0.39108786637307
2859.7500000000	-0.38780300536741
2859.7600000000	-0.38455913383790
2859.7700000000	-0.38135561206779
2859.7800000000	-0.37819181185819
2859.7900000000	-0.37506711630027
2859.8000000000	-0.37198091955226
2859.8100000000	-0.36893262662097
2859.8200000000	-0.36592165314805
2859.8300000000	-0.36294742520054
2859.8400000000	-0.36000937906587
2859.8500000000	-0.35710696105115
2859.8600000000	-0.35423962728660
2859.8700000000	-0.35140684353307
2859.8800000000	-0.34860808499364
2859.8900000000	-0.34584283612903
2859.9000000000	-0.34311059047697
2859.9100000000	-0.34041085047525
2859.9200000000	-0.33774312728846
2859.9300000000	-0.33510694063835
2859.9400000000	-0.33250181863772
2859.9500000000	-0.32992729762771
2859.9600000000	-0.32738292201853
2859.9700000000	-0.32486824413343
2859.9800000000	-0.32238282405597
2859.9900000000	-0.31992622948035
2860.0000000000	-0.31749803556497
